	base	vtage	
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_12_txn720000.ckpt.22297,59.91,58.34,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_19_txn790000.ckpt.22297,58.61,59.32,
tmp18-7-runWorkloadD-2-ycsb-300KDB.ckpt_4_txn640000.ckpt.22297,58.82,58.47,
tmp18-7-runWorkloadE-2-ycsb-300KDB.ckpt_2_txn170000.ckpt.22297,55.42,56.02,
tmp18-7-runWorkloadE-2-ycsb-300KDB.ckpt_8_txn230000.ckpt.22297,50.70,46.66,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_0_txn300000.ckpt.22297,58.02,59.47,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_12_txn420000.ckpt.22297,58.86,59.53,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_19_txn490000.ckpt.22297,56.23,54.46,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_8_txn380000.ckpt.22297,58.84,60.62,
tmpoltp_delete_2C_10_query150000.ckpt.29938,85.97,83.90,
tmpoltp_delete_2C_40_query450000.ckpt.29938,69.56,67.32,
tmpoltp_insert_2C_10_query150000.ckpt.29938,76.55,72.34,
tmpoltp_insert_2C_40_query450000.ckpt.29938,76.50,72.29,
tmpoltp_point_select_2C_10_query150000.ckpt.29938,83.18,83.81,
tmpoltp_point_select_2C_40_query450000.ckpt.29938,81.81,82.61,
tmpoltp_read_only_2C_10_query150000.ckpt.29938,69.67,68.78,
tmpoltp_read_only_2C_40_query450000.ckpt.29938,68.83,68.09,
tmpoltp_read_write_2C_10_query150000.ckpt.29938,67.44,66.80,
tmpoltp_read_write_2C_40_query450000.ckpt.29938,63.86,64.10,
tmpoltp_update_index_2C_10_query150000.ckpt.29938,69.08,64.69,
tmpoltp_update_index_2C_40_query450000.ckpt.29938,66.61,63.26,
tmpoltp_update_non_index_2C_10_query150000.ckpt.29938,80.71,81.81,
tmpoltp_update_non_index_2C_40_query450000.ckpt.29938,81.13,82.33,
tmpoltp_write_only_2C_10_query150000.ckpt.29938,63.10,58.81,
tmpoltp_write_only_2C_40_query450000.ckpt.29938,67.64,65.02,
