	base	vtage	
tmp18-7-runWorkloadE-2-ycsb-300KDB.ckpt_8_txn230000.ckpt.22297,85.69,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_0_txn300000.ckpt.22297,89.25,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_12_txn420000.ckpt.22297,89.14,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_19_txn490000.ckpt.22297,89.28,,
tmp18-7-runWorkloadF-2-ycsb-300KDB.ckpt_8_txn380000.ckpt.22297,89.51,,
tmpoltp_delete_2C_10_query150000.ckpt.29938,94.43,,
tmpoltp_delete_2C_40_query450000.ckpt.29938,88.53,,
tmpoltp_insert_2C_10_query150000.ckpt.29938,87.71,72.34,
tmpoltp_insert_2C_40_query450000.ckpt.29938,87.72,72.29,
tmpoltp_point_select_2C_10_query150000.ckpt.29938,86.12,83.81,
tmpoltp_point_select_2C_40_query450000.ckpt.29938,85.18,82.61,
tmpoltp_read_only_2C_10_query150000.ckpt.29938,87.61,,
tmpoltp_read_only_2C_40_query450000.ckpt.29938,87.35,,
tmpoltp_read_write_2C_10_query150000.ckpt.29938,88.35,,
tmpoltp_read_write_2C_40_query450000.ckpt.29938,88.16,64.10,
tmpoltp_update_index_2C_10_query150000.ckpt.29938,88.45,,
tmpoltp_update_index_2C_40_query450000.ckpt.29938,88.45,,
tmpoltp_update_non_index_2C_10_query150000.ckpt.29938,86.65,81.81,
tmpoltp_update_non_index_2C_40_query450000.ckpt.29938,87.59,,
tmpoltp_write_only_2C_10_query150000.ckpt.29938,89.28,,
tmpoltp_write_only_2C_40_query450000.ckpt.29938,88.80,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_0_query20000.ckpt.26599,92.37,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_17_query190000.ckpt.26599,92.40,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_22_query240000.ckpt.26599,92.37,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_29_query310000.ckpt.26599,92.37,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p100_tSET-GET-p100_port10001_2C_34_query360000.ckpt.26599,92.34,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-GET-p1_port10001_2C_8_query100000.ckpt.26599,88.68,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_13_query150000.ckpt.26599,91.78,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_18_query200000.ckpt.26599,91.75,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_22_query240000.ckpt.26599,91.77,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_28_query300000.ckpt.26599,,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_31_query330000.ckpt.26599,91.81,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_33_query350000.ckpt.26599,91.78,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_4_query60000.ckpt.26599,,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_7_query90000.ckpt.26599,91.77,,
tmpRedisclient0_server1_i1_s127.0.0.1_c50_r400000_d8000_ks100000000_p1_tSET-p1_port10001_2C_9_query110000.ckpt.26599,91.74,,
tmpselect_random_points_2C_10_query150000.ckpt.29938,86.71,,
tmpselect_random_points_2C_40_query450000.ckpt.29938,86.91,,
tmpselect_random_ranges_2C_10_query150000.ckpt.29938,83.87,,
tmpselect_random_ranges_2C_40_query450000.ckpt.29938,84.25,,
tmpycsb_mongodb_runa_15_txn155100.ckpt.19306,88.71,,
tmpycsb_mongodb_runa_35_txn355100.ckpt.19306,88.83,,
tmpycsb_mongodb_runa_45_txn455100.ckpt.19306,88.81,79.55,
tmpycsb_mongodb_runb_15_txn155100.ckpt.19306,88.62,,
tmpycsb_mongodb_runb_35_txn355100.ckpt.19306,88.50,,
tmpycsb_mongodb_runb_45_txn450100.ckpt.19306,88.41,,
tmpycsb_mongodb_runb_45_txn455100.ckpt.19306,88.50,,
tmpycsb_mongodb_runc_15_txn155100.ckpt.19306,87.98,,
tmpycsb_mongodb_runc_35_txn355100.ckpt.19306,88.04,,
tmpycsb_mongodb_runc_45_txn450100.ckpt.19306,88.04,,
tmpycsb_mongodb_runc_45_txn455100.ckpt.19306,87.98,,
tmpycsb_mongodb_rund_15_txn155100.ckpt.19306,88.59,,
tmpycsb_mongodb_rund_35_txn355100.ckpt.19306,88.40,,
tmpycsb_mongodb_rund_45_txn450100.ckpt.19306,88.51,,
tmpycsb_mongodb_rund_45_txn455100.ckpt.19306,88.30,,
tmpycsb_mongodb_runf_15_txn155100.ckpt.19306,88.53,,
tmpycsb_mongodb_runf_35_txn355100.ckpt.19306,88.54,,
tmpycsb_mongodb_runf_45_txn450100.ckpt.19306,88.53,,
tmpycsb_mongodb_runf_45_txn455100.ckpt.19306,88.52,,

