	vtage	
tmp620.omnetpp_s-1-6953-08324.ckpt.31917,confidencemetrics,4295248,854933,522893,3516733,11013654,390791,88581,118096,,
tmp623.xalancbmk_s-1-11017-00001.ckpt.31917,confidencemetrics,8829755,883428,361057,3203651,5780510,169812,3876,13485,,
tmp623.xalancbmk_s-1-7064-00511.ckpt.31917,confidencemetrics,1163941,117784,65620,359816,12688957,100230,29613,20917,,
tmp625.x264_s-1-3166-00533.ckpt.31917,confidencemetrics,3050062,641390,280588,672939,21079258,851229,179358,157832,,
tmp625.x264_s-2-3239-00053.ckpt.31917,confidencemetrics,5149335,1125788,584555,1742193,16273260,871354,227567,239624,,
tmp625.x264_s-3-6024-02635.ckpt.31917,confidencemetrics,2768775,584914,254819,539882,22882119,897204,190355,133842,,
tmp631.deepsjeng_s-1-15244-00001.ckpt.31917,confidencemetrics,4860071,911733,417401,1071869,14900680,627073,112666,116788,,
tmp631.deepsjeng_s-1-7648-00004.ckpt.31917,confidencemetrics,4554846,833853,365867,932361,16046407,710922,127023,113040,,
tmp641.leela_s-1-13960-03019.ckpt.31917,confidencemetrics,3952004,801099,472555,2207392,13604465,512680,106487,96644,,
tmp641.leela_s-1-6959-00093.ckpt.31917,confidencemetrics,4023988,819558,501679,2249200,13528348,521892,108479,97396,,
tmp657.xz_s-1-18680-02519.ckpt.31917,confidencemetrics,2635422,511167,296426,1853791,13232876,465129,103376,127863,,
tmp657.xz_s-1-41612-00006.ckpt.31917,confidencemetrics,254384,47627,34935,123794,32396249,83986,10288,49375,,
tmp657.xz_s-2-6057-00060.ckpt.31917,confidencemetrics,3267276,552954,334695,1976422,12583796,420910,96294,125166,,
tmp18-7-runWorkloadA-2-ycsb-300KDB.ckpt_12_txn720000.ckpt.22297,confidencemetrics,5379680,951301,487984,1084808,11474220,313719,79651,70427,,
tmp18-7-runWorkloadA-2-ycsb-300KDB.ckpt_19_txn790000.ckpt.22297,confidencemetrics,5183365,934621,514183,2312740,10430831,261513,66105,64834,,
